artists.items.0.followers.total,artists.items.0.genres.0,artists.items.0.genres.1,artists.items.0.genres.2,artists.items.0.genres.3,artists.items.0.genres.4,artists.items.0.genres.5,artists.items.0.genres.6,artists.items.0.genres.7,artists.items.0.genres.8,artists.items.0.genres.9,artists.items.0.id,artists.items.0.name,artists.items.0.popularity
13502351,chicago rap,melodic rap,,,,,,,,,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,99
,,,,,,,,,,,,,
2360511,crunk,dirty south rap,gangster rap,hip hop,memphis hip hop,pop rap,rap,southern hip hop,trap,,5gCRApTajqwbnHHPbr2Fpi,Juicy J,79
39571430,canadian pop,pop,post-teen pop,,,,,,,,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,97
9895411,dance pop,pop,,,,,,,,,31TPClRtHm23RisEBtV3X7,Justin Timberlake,84
1180297,colombian pop,pop,,,,,,,,,1U1el3k54VvEUzo3ybLPlM,Kali Uchis,81
2936832,contemporary country,country road,,,,,,,,,3oSJ7TBVCWMDMiYjXNiCKE,Kane Brown,83
12758358,chicago rap,rap,,,,,,,,,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,92
13056009,latin,latin pop,reggaeton,reggaeton colombiano,trap latino,,,,,,790FomKkXshlbRYZFtlgla,KAROL G,90
4058270,pop,pop rap,post-teen pop,r&b,,,,,,,0cGUm45nv7Z6M6qdXYQGTX,Kehlani,83
15836398,conscious hip hop,hip hop,rap,west coast rap,,,,,,,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,90
673553,smooth jazz,smooth saxophone,,,,,,,,,6I3M904Y9IwgDjrQ9pANiB,Kenny G,71
3732574,baton rouge rap,pop rap,rap,southern hip hop,trap,,,,,,1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,80
700820,rap,southern hip hop,tennessee hip hop,trap,,,,,,,0RESbWvOMyua0yuyVrztJ5,Key Glock,72
12904229,alternative r&b,pop,,,,,,,,,6LuN9FCkKOj5PcnpouEgny,Khalid,93
,,,,,,,,,,,,,
754835,alternative r&b,dance pop,pop,pop r&b,post-teen pop,r&b,urban contemporary,,,,7jZMxhsB8djyIbYmoiJSTs,Kiana Ledé,73
4163685,hip hop,ohio hip hop,pop rap,rap,,,,,,,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,84
745619,australian hip hop,,,,,,,,,,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,90
659156,hip hop,rap,underground hip hop,,,,,,,,2hPgGN4uhvXAxiXQBIXOmE,KIDS SEE GHOSTS,68
31071,,,,,,,,,,,3EWxytcxaM0tksU6v3je2Q,kiLL edward,52
57491,cali rap,pop r&b,,,,,,,,,41I5xI04kixwmonDBl0Sda,King Combs,63
528120,chicago rap,trap,,,,,,,,,6QtgPSJPSzcnn7dPZ4VINp,King Von,83
6381265,florida rap,hip hop,melodic rap,miami hip hop,rap,southern hip hop,trap,,,,46SHBwWsqBkxI7EeeBEQG7,Kodak Black,85
81378,atl hip hop,trap queen,,,,,,,,,1CUeN4GnHAGUk9nAXPorF4,Kodie Shane,57
651520,chinese hip hop,chinese idol pop,,,,,,,,,2lbUjuMzHkT4qIECvk2f3L,Kris Wu,57
1371211,pop,,,,,,,,,,2feDdbD5araYcm6JhFHHw7,Labrinth,84
270618,emo rap,sad rap,underground hip hop,vapor trap,,,,,,,04ei5kNgmDuNAydFhhIHnD,Landon Cube,70
198434,social media pop,viral rap,,,,,,,,,0rQjJGZLXBq95OA3nSmDj9,Larray,63
209364,pop r&b,,,,,,,,,,02ZtVIjKL1PYLlMmP1sz0h,Layton Greene,67
5453957,atl hip hop,atl trap,rap,,,,,,,,5f7VJjfbwm532GiveGC0ZK,Lil Baby,94
1730456,comedy rap,pop rap,rap,,,,,,,,1tqhsYv8yBBdwANFNzHtcr,Lil Dicky,71
1930318,chicago drill,chicago rap,drill,hip hop,rap,southern hip hop,trap,,,,3hcs9uc56yIGFCSy9leWe7,Lil Durk,88
2990715,melodic rap,rap conscient,vapor trap,,,,,,,,5zctI4wO9XSKS8XwcnqEHk,Lil Mosey,86
3680917,country rap,lgbtq+ hip hop,pop rap,queer country,,,,,,,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,81
7350154,emo rap,miami hip hop,rap,trap,underground hip hop,,,,,,3wyVrVrFCkukjdVIdirGVY,Lil Pump,77
